url,label,source,category
http://42.235.145.69:59257/bin.sh,malicious,urlhaus,malware
http://64.53.93.93:34703/bin.sh,malicious,urlhaus,malware
http://175.150.200.235:40944/bin.sh,malicious,urlhaus,malware
https://quor-tidear.qul4xorin.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
http://85.12.205.35:34082/i,malicious,urlhaus,malware
http://59.88.131.37:44336/i,malicious,urlhaus,malware
http://61.53.99.108:33252/bin.sh,malicious,urlhaus,malware
https://q1tnk.qul4xorin.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://triforgea.qul4xorin.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
http://222.137.173.152:49912/i,malicious,urlhaus,malware
http://139.218.43.94:50164/i,malicious,urlhaus,malware
https://rc3ba.qul4xorin.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://cmvpokng.qul4xorin.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://freigoak.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
http://78.165.125.38:40735/bin.sh,malicious,urlhaus,malware
http://59.88.131.37:44336/bin.sh,malicious,urlhaus,malware
http://182.124.33.254:56863/i,malicious,urlhaus,malware
http://105.184.17.141:44741/i,malicious,urlhaus,malware
https://wx3wxihq.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
http://123.8.24.59:43022/i,malicious,urlhaus,malware
https://sile-reel.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
http://182.124.112.31:40481/bin.sh,malicious,urlhaus,malware
https://otpj4gh.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://zbianule.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://homecaremovers.com/server.png,malicious,urlhaus,malware
https://corwineagles.com/image.png,malicious,urlhaus,malware
http://65.99.181.12:49304/bin.sh,malicious,urlhaus,malware
https://solar-sanat.net/imagepixxx011.png,malicious,urlhaus,malware
https://allsydevs.com/wp-admin/images/about-texture1.png,malicious,urlhaus,malware
http://204.76.203.168/ultron.arm4,malicious,urlhaus,malware
https://sp4rr-switch.norxelav.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://recavaran.com.tr/image.png,malicious,urlhaus,malware
https://domister.online/woow.dat,malicious,urlhaus,malware
http://105.184.17.141:44741/bin.sh,malicious,urlhaus,malware
http://123.8.24.59:43022/bin.sh,malicious,urlhaus,malware
http://119.179.250.240:38610/bin.sh,malicious,urlhaus,malware
https://sermeshos5.bry6moxel.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://homecaremovers.com/lilu.png,malicious,urlhaus,malware
https://everycarebd.com/imagevolume09875987654.png,malicious,urlhaus,malware
https://goplanet.digital/optimized_MSI.png,malicious,urlhaus,malware
https://goplanet.digital/img_064042.png,malicious,urlhaus,malware
https://goplanet.digital/domens.hta,malicious,urlhaus,malware
https://kg9c.bry6moxel.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,malicious,urlhaus,malware
https://base44.app/api/apps/69cb3bb3ac2ef17c570d5fa7/files/mp/public/69cb3bb3ac2ef17c570d5fa7/0d1c792fa_ZyroAim-Apex.exe,malicious,urlhaus,malware
https://base44.app/api/apps/69cb3bb3ac2ef17c570d5fa7/files/mp/public/69cb3bb3ac2ef17c570d5fa7/e27407567_ZyroAim-Roblox.exe,malicious,urlhaus,malware
https://base44.app/api/apps/69cb3bb3ac2ef17c570d5fa7/files/mp/public/69cb3bb3ac2ef17c570d5fa7/b693dcbe9_ZyroAim-R6.exe,malicious,urlhaus,malware
https://zyroaim.com/downloads/ZyroAim-Valorant.exe,malicious,urlhaus,malware
https://zyroaim.com/downloads/ZyroAim-Fortnite.exe,malicious,urlhaus,malware
